token,count
jersey,57
hawaii,9
washington,757
maine,100
arizona,109
texas,418
dakota,10
delaware,3
michigan,25
mexico,70
indiana,7
oklahoma,20
massachusetts,47
georgia,24
mississippi,5
oregon,120
colorado,33
tennessee,20
minnesota,10
idaho,63
arkansas,9
louisiana,15
kansas,14
alabama,16
utah,59
hampshire,8
nevada,198
virginia,74
florida,59
montana,18
alaska,23
illinois,54
wisconsin,130
rhode,6
maryland,26
carolina,42
connecticut,54
iowa,80
pennsylvania,96
wyoming,30
york,820
nebraska,27
ohio,45
california,9667
vermont,5
missouri,17
kentucky,10
