token,count
oasis,12
iget,1
gregorcyk,1
marsha,15
relationships,26
tracy,25
facie,8
paxton,4
divestitute,2
yan,13
onus,12
namesake,3
leading,196
disrupts,6
wanderski,1
jersey,57
pub,3
museums,3
obsolete,4
operating,386
hydroelectricity,13
sichuan,1
puc,1016
boyish,2
paixao,2
escalation,9
decisions,140
maop,4
biopower,14
strenuously,12
tendency,19
idle,47
restate,3
generic,3
bridge,72
pug,3
yay,2
threaten,69
configured,2
mimics,1
stinks,12
sambehrends,1
sejam,1
hoge,110
hits,17
spill,1
coastlines,2
career,48
confiscate,3
austin,45
skesler,2
biweekly,3
applicable,29
emission,46
breakthrough,22
macroeconomic,2
shirakawa,7
stated,70
projection,21
put,554
misdirected,5
soured,2
consciousness,4
mollon,1
rieser,2
frown,2
dangerously,18
illuminating,1
ballance,2
idly,2
itinerary,6
sted,2
wicklund,3
hogs,4
midlevel,1
tightens,1
profited,26
dhabi,1
roofs,10
cancelled,10
sturbeck,1
vhs,5
malan,1
fiercely,2
states,694
stem,17
proportion,4
dangling,4
regina,1
antics,1
understood,24
step,249
blackbox,1
profession,5
hhrma,3
vellandi,1
rbstrong,1
motion,113
woolfolk,23
pricingoutline,1
fbay,1
guarded,9
kerwin,1
trade,248
mccormac,1
soc,1
entered,43
rimington,2
vasugi,1
lodi,84
soe,1
adres,1
integrite,4
muzzy,1
gallons,5
bryngelson,2
earthquakes,11
sol,8
sklick,1
son,18
counihan,2
arbitrage,2
alvino,1
determining,44
pine,3
ramaley,3
slips,6
hawaii,9
embassies,2
dissenters,4
integrity,47
paladino,1
joann,1
inflames,2
zeroed,5
wright,40
avarez,3
mapi,2
hardships,7
poultry,2
gouge,6
perun,6
seksan,2
dushinske,2
gough,3
barba,1
aspect,20
adventures,2
stouffer,5
mapp,4
multicolor,1
maps,20
hudler,26
convergence,15
jhwolak,1
operation,218
powers,43
schaal,2
a,30672
rollbacks,15
b,434
jaisinghani,1
c,748
coach,1
unpracticed,1
influential,41
d,1591
via,120
cortwright,1
e,4761
aoainc,1
frankfurter,1
horlbeck,1
crossed,22
f,192
g,170
legacy,10
h,162
vie,14
payroll,47
i,6766
fasten,1
hohl,2
unjustified,14
j,2068
duplicating,4
k,191
robles,4
l,463
vii,9
m,1305
faster,33
cranes,4
n,191
pvx,1
o,412
climax,1
meier,3
dlrs,3
p,651
networking,12
sparger,2
q,112
lira,1
r,505
s,19505
mothball,12
t,4097
routinely,26
crosses,6
honchos,1
u,794
v,144
forego,6
vis,18
w,336
edgecliffe,1
x,327
